.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,padj_method
bwpd,t0,t2,126,117,6.35238466592113,233.685694011504,1.1e-09,6.6e-09,****,bonferroni
bwpd,t0,t4,126,108,0.866347118123151,227.526638732043,0.387,1,ns,bonferroni
bwpd,t0,t6,126,71,4.22795570268719,136.986988454911,4.28e-05,0.0002568,***,bonferroni
bwpd,t2,t4,117,108,-5.16274395515784,203.064310862172,5.78e-07,3.468e-06,****,bonferroni
bwpd,t2,t6,117,71,-0.475907962574934,114.492569010443,0.635,1,ns,bonferroni
bwpd,t4,t6,108,71,3.42843394266843,140.873717571173,0.000796,0.004776,**,bonferroni
unrooted_pd,t0,t2,126,117,-7.86809155813871,239.799889077016,1.23e-13,7.38e-13,****,bonferroni
unrooted_pd,t0,t4,126,108,-4.99670233594227,231.426573063521,1.15e-06,6.9e-06,****,bonferroni
unrooted_pd,t0,t6,126,71,-2.94033577024029,164.247816419174,0.004,0.024,**,bonferroni
unrooted_pd,t2,t4,117,108,3.11536125222622,222.902321690728,0.002,0.012,**,bonferroni
unrooted_pd,t2,t6,117,71,4.20066807496311,148.7328268997,4.57e-05,0.0002742,***,bonferroni
unrooted_pd,t4,t6,108,71,1.51779324160045,144.359346965436,0.131,0.786,ns,bonferroni
